,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
82,82,0.8004651006388827,2021-05-13 19:56:04.981058,2021-05-13 20:11:13.505281,0 days 00:15:08.524223,0.11582067813386757,512,0.003535788932666797,1e-05,0.005,80.0,COMPLETE
83,83,0.806034200852646,2021-05-13 20:11:13.506330,2021-05-13 20:27:17.574382,0 days 00:16:04.068052,0.10702954458625645,512,0.002937823057464273,1e-05,0.005,90.0,COMPLETE
84,84,0.8040149301431038,2021-05-13 20:27:17.575577,2021-05-13 20:43:18.725946,0 days 00:16:01.150369,0.10679715913220797,512,0.0028995780009234175,1e-05,0.005,85.0,COMPLETE
85,85,0.8061626560673636,2021-05-13 20:43:18.726897,2021-05-13 20:59:21.423471,0 days 00:16:02.696574,0.10588946098015171,512,0.0026798146283052403,1e-05,0.005,85.0,COMPLETE
86,86,0.8074983488485555,2021-05-13 20:59:21.424586,2021-05-13 21:15:24.711657,0 days 00:16:03.287071,0.10761438432107794,512,0.0027250734777765845,1e-05,0.005,85.0,COMPLETE
87,87,0.7939941084820802,2021-05-13 21:15:24.712620,2021-05-13 21:27:53.297676,0 days 00:12:28.585056,0.10222698655679015,512,0.002701140500609159,1e-05,0.0001,80.0,COMPLETE
88,88,0.7814894327230298,2021-05-13 21:27:53.299336,2021-05-13 21:43:53.467845,0 days 00:16:00.168509,0.10016836620098728,512,0.002736306624904128,0.001,0.005,85.0,COMPLETE
89,89,0.7980041537103729,2021-05-13 21:43:53.469244,2021-05-13 22:06:11.877733,0 days 00:22:18.408489,0.10508825677909406,256,0.003136665510118609,1e-05,0.005,75.0,COMPLETE
90,90,0.7973712550430376,2021-05-13 22:06:11.879083,2021-05-13 22:23:50.238122,0 days 00:17:38.359039,0.1111940378303529,512,0.0024780983883780625,1e-05,0.001,65.0,COMPLETE
91,91,0.8077047863532346,2021-05-13 22:23:50.239072,2021-05-13 22:39:55.630653,0 days 00:16:05.391581,0.10756344360405203,512,0.002909831047698912,1e-05,0.005,85.0,COMPLETE
92,92,0.8089044458681618,2021-05-13 22:39:55.632202,2021-05-13 22:56:00.768638,0 days 00:16:05.136436,0.10818931858689429,512,0.003008264741766787,1e-05,0.005,90.0,COMPLETE
93,93,0.7969638614012537,2021-05-13 22:56:00.769621,2021-05-13 23:12:03.630251,0 days 00:16:02.860630,0.10862352876205977,512,0.0030057288070285577,1e-05,0.005,90.0,COMPLETE
94,94,0.8068717210092635,2021-05-13 23:12:03.631410,2021-05-13 23:28:03.043164,0 days 00:15:59.411754,0.11858105127195447,512,0.0032536222214083915,1e-05,0.005,85.0,COMPLETE
95,95,0.7347585941640663,2021-05-13 23:28:03.044153,2021-05-13 23:45:41.877153,0 days 00:17:38.833000,0.11832510780333064,512,0.0033045003555818974,0.01,0.005,80.0,COMPLETE
96,96,0.7828065847175258,2021-05-13 23:45:41.878251,2021-05-13 23:49:38.421479,0 days 00:03:56.543228,0.16621057551087642,1024,0.003385863403202438,1e-05,0.005,85.0,COMPLETE
97,97,0.7780746137749205,2021-05-13 23:49:38.422961,2021-05-13 23:58:40.198936,0 days 00:09:01.775975,0.11071231358166275,512,0.002632919256165224,1e-05,0.01,90.0,COMPLETE
98,98,0.7907097504396526,2021-05-13 23:58:40.200317,2021-05-14 00:34:32.854502,0 days 00:35:52.654185,0.1801472963817186,128,0.0029293230714679324,1e-05,0.005,80.0,COMPLETE
99,99,0.8064819851375147,2021-05-14 00:34:32.855508,2021-05-14 00:50:38.077728,0 days 00:16:05.222220,0.10805561504717244,512,0.0030627526099784837,1e-05,0.005,95.0,COMPLETE
