,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
48,48,0.707951894913256,2021-04-21 12:34:29.075098,2021-04-21 12:40:00.602337,0 days 00:05:31.527239,8192,0.0440649275269441,0.0001,0.01,185.0,COMPLETE
49,49,0.7306833902520661,2021-04-21 12:40:00.603755,2021-04-21 12:56:52.234168,0 days 00:16:51.630413,8192,0.07667317052021617,0.0001,0.001,175.0,COMPLETE
50,50,0.7223467325553792,2021-04-21 12:56:52.235396,2021-04-21 13:20:06.468604,0 days 00:23:14.233208,4096,0.10788142054320869,1.0,0.001,135.0,COMPLETE
51,51,0.7320959375225496,2021-04-21 13:20:06.469567,2021-04-21 13:36:23.692426,0 days 00:16:17.222859,8192,0.05212276156100398,0.0001,0.001,155.0,COMPLETE
52,52,0.7321413878895493,2021-04-21 13:36:23.693467,2021-04-21 13:52:46.013564,0 days 00:16:22.320097,8192,0.061019710449446186,0.0001,0.001,155.0,COMPLETE
53,53,0.7316245450375202,2021-04-21 13:52:46.014727,2021-04-21 14:09:54.324300,0 days 00:17:08.309573,8192,0.0646882112781309,0.0001,0.001,150.0,COMPLETE
54,54,0.7319773710691609,2021-04-21 14:09:54.325680,2021-04-21 14:26:11.589673,0 days 00:16:17.263993,8192,0.07927246051766115,0.0001,0.001,160.0,COMPLETE
55,55,0.7316785269602698,2021-04-21 14:26:11.591254,2021-04-21 14:44:12.701601,0 days 00:18:01.110347,8192,0.05677206908404764,0.0001,0.001,125.0,COMPLETE
56,56,0.7224299424577644,2021-04-21 14:44:12.702554,2021-04-21 14:51:41.523537,0 days 00:07:28.820983,8192,0.03944741327831224,0.001,0.005,140.0,COMPLETE
57,57,0.7280429589732978,2021-04-21 14:51:41.524689,2021-04-21 15:23:43.301683,0 days 00:32:01.776994,8192,0.03468320578447121,0.0001,0.001,45.0,COMPLETE
58,58,0.592667435030428,2021-04-21 15:23:43.302640,2021-04-21 15:25:25.187481,0 days 00:01:41.884841,8192,0.20529508739512267,0.0001,0.1,170.0,COMPLETE
59,59,0.7315875788073787,2021-04-21 15:25:25.189186,2021-04-21 15:41:19.646131,0 days 00:15:54.456945,8192,0.04391998052097247,0.0001,0.001,160.0,COMPLETE
