,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
67,67,0.826405763036817,2021-05-09 20:53:53.686224,2021-05-09 21:18:54.807525,0 days 00:25:01.121301,0.008784093578235053,128,0.0001,0.01,60.0,COMPLETE
68,68,0.7889174380806161,2021-05-09 21:18:54.808577,2021-05-09 21:53:24.798348,0 days 00:34:29.989771,0.016469467092488692,128,0.001,0.01,60.0,COMPLETE
69,69,0.8230563219245907,2021-05-09 21:53:24.799318,2021-05-09 22:36:31.668152,0 days 00:43:06.868834,0.0019166473852677357,128,0.0001,0.01,90.0,COMPLETE
70,70,0.8209773239168402,2021-05-09 22:36:31.669136,2021-05-09 23:16:36.439667,0 days 00:40:04.770531,0.08663372679948135,128,0.0001,0.01,50.0,COMPLETE
71,71,0.8231121647184457,2021-05-09 23:16:36.440631,2021-05-09 23:56:54.758524,0 days 00:40:18.317893,0.045113970480762114,128,0.0001,0.01,80.0,COMPLETE
72,72,0.8287466158546669,2021-05-09 23:56:54.759878,2021-05-10 00:27:49.548839,0 days 00:30:54.788961,0.0018276426393827525,128,0.0001,0.01,60.0,COMPLETE
73,73,0.8291850047909998,2021-05-10 00:27:49.549715,2021-05-10 00:55:42.792030,0 days 00:27:53.242315,0.0020096870071889842,128,0.0001,0.01,60.0,COMPLETE
74,74,0.8286554011307083,2021-05-10 00:55:42.793343,2021-05-10 01:23:34.633987,0 days 00:27:51.840644,0.08810554191815949,128,0.0001,0.01,50.0,COMPLETE
75,75,0.7827549788657331,2021-05-10 01:23:34.634982,2021-05-10 01:45:22.844204,0 days 00:21:48.209222,0.11652305170350093,128,0.0001,0.005,50.0,COMPLETE
76,76,0.7557266795991912,2021-05-10 01:45:22.846000,2021-05-10 01:49:13.537318,0 days 00:03:50.691318,0.06893043713175354,1024,0.0001,0.01,75.0,COMPLETE
77,77,0.4930253730749237,2021-05-10 01:49:13.538216,2021-05-10 02:10:46.174993,0 days 00:21:32.636777,0.08567670342594103,128,0.1,0.01,50.0,COMPLETE
78,78,0.748292490561795,2021-05-10 02:10:46.175992,2021-05-10 02:38:26.975820,0 days 00:27:40.799828,0.20870471596187043,128,0.0001,0.0001,75.0,COMPLETE
79,79,0.4971723384309172,2021-05-10 02:38:26.976723,2021-05-10 02:50:00.446164,0 days 00:11:33.469441,0.12645290618253105,256,1.0,0.01,100.0,COMPLETE
80,80,0.4975527520048554,2021-05-10 02:50:00.447236,2021-05-10 03:11:43.802252,0 days 00:21:43.355016,0.6162276005311621,128,0.01,0.01,85.0,COMPLETE
81,81,0.8270769595080394,2021-05-10 03:11:43.803291,2021-05-10 03:42:27.184366,0 days 00:30:43.381075,0.00011655885649849355,128,0.0001,0.01,55.0,COMPLETE
82,82,0.823323913139007,2021-05-10 03:42:27.185483,2021-05-10 04:16:08.721083,0 days 00:33:41.535600,0.047422387236034896,128,0.0001,0.01,55.0,COMPLETE
83,83,0.7164713332139778,2021-05-10 04:16:08.722434,2021-05-10 04:37:51.604190,0 days 00:21:42.881756,0.025238251017824762,128,0.0001,0.0005,65.0,COMPLETE
84,84,0.7702361722769248,2021-05-10 04:37:51.605435,2021-05-10 04:44:22.761487,0 days 00:06:31.156052,0.09866971137573699,512,0.0001,0.01,40.0,COMPLETE
85,85,0.7497510533812048,2021-05-10 04:44:22.762363,2021-05-10 05:12:03.140143,0 days 00:27:40.377780,0.0007680258224513517,128,0.0001,0.05,50.0,COMPLETE
86,86,0.8188403005646201,2021-05-10 05:12:03.141192,2021-05-10 05:39:58.058175,0 days 00:27:54.916983,0.08316666934906172,128,0.0001,0.01,75.0,COMPLETE
87,87,0.826578114047838,2021-05-10 05:39:58.059217,2021-05-10 06:19:51.814828,0 days 00:39:53.755611,0.1734773589709308,128,0.0001,0.01,60.0,COMPLETE
88,88,0.8281787438670969,2021-05-10 06:19:51.815918,2021-05-10 06:47:28.705135,0 days 00:27:36.889217,0.054095584237676284,128,0.0001,0.01,55.0,COMPLETE
89,89,0.826811646963613,2021-05-10 06:47:28.706543,2021-05-10 07:24:38.989527,0 days 00:37:10.282984,0.05182928980684474,128,0.0001,0.01,45.0,COMPLETE
90,90,0.6945858293527267,2021-05-10 07:24:38.990791,2021-05-10 07:28:37.462554,0 days 00:03:58.471763,0.023663873983358664,1024,1e-05,0.005,40.0,COMPLETE
91,91,0.8271891705483344,2021-05-10 07:28:37.463783,2021-05-10 07:59:22.962005,0 days 00:30:45.498222,0.06518586309670926,128,0.0001,0.01,55.0,COMPLETE
92,92,0.828072065458043,2021-05-10 07:59:22.963090,2021-05-10 08:39:44.295948,0 days 00:40:21.332858,0.4695948831822509,128,0.0001,0.01,195.0,COMPLETE
93,93,0.7906573884487743,2021-05-10 08:39:44.296898,2021-05-10 09:53:46.910560,0 days 01:14:02.613662,0.4766221540660316,128,0.0001,0.01,195.0,COMPLETE
94,94,0.7474087113538339,2021-05-10 09:53:46.911554,2021-05-10 10:24:43.467537,0 days 00:30:56.555983,0.45128013096379527,128,0.0001,0.01,170.0,COMPLETE
95,95,0.8185970108914582,2021-05-10 10:24:43.468527,2021-05-10 11:19:56.831224,0 days 00:55:13.362697,0.41146130639710354,128,0.0001,0.01,145.0,COMPLETE
96,96,0.8281582089237618,2021-05-10 11:19:56.832352,2021-05-10 11:50:38.930762,0 days 00:30:42.098410,0.5695273730400597,128,0.0001,0.01,65.0,COMPLETE
97,97,0.8287967196810219,2021-05-10 11:50:38.932127,2021-05-10 12:18:14.517362,0 days 00:27:35.585235,0.5831022902658232,128,0.0001,0.01,65.0,COMPLETE
98,98,0.7264099933146027,2021-05-10 12:18:14.518261,2021-05-10 12:34:28.158166,0 days 00:16:13.639905,0.6567182725589121,256,0.001,0.0001,65.0,COMPLETE
99,99,0.8280231535119416,2021-05-10 12:34:28.159511,2021-05-10 13:04:57.008459,0 days 00:30:28.848948,0.540577995355051,128,0.0001,0.01,80.0,COMPLETE
