,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
44,44,0.8161427820664847,2021-04-22 13:30:10.920299,2021-04-22 13:49:45.580060,0 days 00:19:34.659761,512,0.07729141100651664,0.0001,0.0005,170.0,COMPLETE
45,45,0.8155154839547492,2021-04-22 13:49:45.580990,2021-04-22 13:54:51.850495,0 days 00:05:06.269505,1024,0.03554524807216126,0.001,0.0005,120.0,COMPLETE
46,46,0.810031471175168,2021-04-22 13:54:51.851433,2021-04-22 13:57:22.833073,0 days 00:02:30.981640,1024,0.17380439282664797,0.0001,0.005,155.0,COMPLETE
47,47,0.0,2021-04-22 13:57:22.833934,2021-04-22 13:57:33.554811,0 days 00:00:10.720877,128,0.02109410865317186,0.1,0.01,140.0,COMPLETE
48,48,0.6323398779879618,2021-04-22 13:57:33.556207,2021-04-22 13:59:04.276692,0 days 00:01:30.720485,1024,0.08747055588281502,0.01,0.0005,165.0,COMPLETE
49,49,0.7938268107870156,2021-04-22 13:59:04.278207,2021-04-22 14:00:33.883666,0 days 00:01:29.605459,2048,0.9457954698654552,0.0001,0.05,90.0,COMPLETE
50,50,0.5046383827108731,2021-04-22 14:00:33.884619,2021-04-22 14:02:12.998637,0 days 00:01:39.114018,512,0.2786279009429547,1.0,0.0005,105.0,COMPLETE
51,51,0.8218866785681762,2021-04-22 14:02:12.999954,2021-04-22 14:14:48.237694,0 days 00:12:35.237740,1024,0.09094680309634318,0.0001,0.0005,140.0,COMPLETE
52,52,0.8220848395538478,2021-04-22 14:14:48.238567,2021-04-22 14:23:30.568613,0 days 00:08:42.330046,1024,0.06072754182555809,0.0001,0.0005,130.0,COMPLETE
53,53,0.8219465455598765,2021-04-22 14:23:30.569563,2021-04-22 14:32:31.566869,0 days 00:09:00.997306,1024,0.042567421410953495,0.0001,0.0005,130.0,COMPLETE
54,54,0.821563543170764,2021-04-22 14:32:31.567931,2021-04-22 14:44:08.304214,0 days 00:11:36.736283,1024,0.05904869864787937,0.0001,0.0005,150.0,COMPLETE
55,55,0.8135132379089567,2021-04-22 14:44:08.305650,2021-04-22 14:46:36.284888,0 days 00:02:27.979238,2048,0.011032724348888915,0.0001,0.005,125.0,COMPLETE
56,56,0.8220611493318202,2021-04-22 14:46:36.286231,2021-04-22 15:00:02.986980,0 days 00:13:26.700749,1024,0.13501720414554488,0.0001,0.0005,190.0,COMPLETE
57,57,0.774449014007961,2021-04-22 15:00:02.987934,2021-04-22 15:32:29.740933,0 days 00:32:26.752999,1024,0.02098925095328934,0.0001,0.0001,115.0,COMPLETE
58,58,0.8081576265172431,2021-04-22 15:32:29.741855,2021-04-22 16:04:41.546753,0 days 00:32:11.804898,256,0.20558964588032855,0.0001,0.0005,155.0,COMPLETE
59,59,0.816244575048091,2021-04-22 16:04:41.547719,2021-04-22 16:08:44.032440,0 days 00:04:02.484721,2048,0.06553154804556058,0.001,0.0005,135.0,COMPLETE
60,60,0.8215378113732054,2021-04-22 16:08:44.033398,2021-04-22 16:18:48.221832,0 days 00:10:04.188434,1024,0.004508462186919855,1e-05,0.0005,145.0,COMPLETE
61,61,0.8219488908726333,2021-04-22 16:18:48.222712,2021-04-22 16:30:19.098233,0 days 00:11:30.875521,1024,0.10162056361698564,0.0001,0.0005,170.0,COMPLETE
62,62,0.8222917589369949,2021-04-22 16:30:19.099347,2021-04-22 16:43:53.890858,0 days 00:13:34.791511,1024,0.13484952439152478,0.0001,0.0005,180.0,COMPLETE
63,63,0.8221010683491703,2021-04-22 16:43:53.891851,2021-04-22 16:58:07.960672,0 days 00:14:14.068821,1024,0.14276887946104821,0.0001,0.0005,185.0,COMPLETE
64,64,0.8220912692992582,2021-04-22 16:58:07.961749,2021-04-22 17:10:49.684631,0 days 00:12:41.722882,1024,0.14748207956071321,0.0001,0.0005,185.0,COMPLETE
65,65,0.8225993127428782,2021-04-22 17:10:49.685503,2021-04-22 17:23:05.534515,0 days 00:12:15.849012,1024,0.42725168530873797,0.0001,0.0005,175.0,COMPLETE
66,66,0.812963850318049,2021-04-22 17:23:05.535440,2021-04-22 17:24:41.598060,0 days 00:01:36.062620,1024,0.4544511736472565,0.0001,0.01,170.0,COMPLETE
67,67,0.7943521493102279,2021-04-22 17:24:41.598933,2021-04-22 17:26:10.476602,0 days 00:01:28.877669,2048,0.7321838833826048,0.0001,0.05,175.0,COMPLETE
