,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
63,63,0.5006646526641533,2021-04-18 00:33:06.257419,2021-04-18 00:33:28.284558,0 days 00:00:22.027139,2048,0.06455598874164108,0.1,0.005,125.0,COMPLETE
64,64,0.7771819569814583,2021-04-18 00:33:28.285574,2021-04-18 00:37:03.584694,0 days 00:03:35.299120,2048,0.055617011162482896,0.1,0.005,155.0,COMPLETE
65,65,0.7771849725666589,2021-04-18 00:37:03.585713,2021-04-18 00:40:40.523419,0 days 00:03:36.937706,2048,0.05546523998362505,0.1,0.005,155.0,COMPLETE
66,66,0.7771849930721255,2021-04-18 00:40:40.524454,2021-04-18 00:44:11.196997,0 days 00:03:30.672543,2048,0.05545317645700249,0.1,0.005,155.0,COMPLETE
67,67,0.7771819672341916,2021-04-18 00:44:11.198101,2021-04-18 00:47:46.729138,0 days 00:03:35.531037,2048,0.03993993493709716,0.1,0.005,155.0,COMPLETE
68,68,0.7646732595877462,2021-04-18 00:47:46.730158,2021-04-18 00:50:33.097664,0 days 00:02:46.367506,8192,0.03947559512809809,0.001,0.005,115.0,COMPLETE
69,69,0.7671021269951537,2021-04-18 00:50:33.098669,2021-04-18 00:53:28.223976,0 days 00:02:55.125307,2048,0.030925993651042875,0.0001,0.005,155.0,COMPLETE
70,70,0.723423582266897,2021-04-18 00:53:28.224987,2021-04-18 00:54:13.857994,0 days 00:00:45.633007,2048,0.055081660888066084,0.1,0.05,100.0,COMPLETE
71,71,0.7758246168353614,2021-04-18 00:54:13.859015,2021-04-18 00:57:44.157337,0 days 00:03:30.298322,2048,0.046977559342467085,0.1,0.005,145.0,COMPLETE
72,72,0.775707033362784,2021-04-18 00:57:44.158385,2021-04-18 01:01:14.512666,0 days 00:03:30.354281,2048,0.04169410019485515,0.1,0.005,135.0,COMPLETE
73,73,0.7771804639271623,2021-04-18 01:01:14.513707,2021-04-18 01:04:43.123071,0 days 00:03:28.609364,2048,0.035870655973066004,0.1,0.005,155.0,COMPLETE
74,74,0.7771805997758794,2021-04-18 01:04:43.124118,2021-04-18 01:08:12.964268,0 days 00:03:29.840150,2048,0.03651084384045566,0.1,0.005,155.0,COMPLETE
75,75,0.7771803178257118,2021-04-18 01:08:12.965305,2021-04-18 01:11:39.172921,0 days 00:03:26.207616,2048,0.034728801384178304,0.1,0.005,155.0,COMPLETE
76,76,0.7702055447991851,2021-04-18 01:11:39.173974,2021-04-18 01:15:06.192858,0 days 00:03:27.018884,2048,0.03842556410492074,0.01,0.005,155.0,COMPLETE
77,77,0.4999153060144605,2021-04-18 01:15:06.193734,2021-04-18 01:15:28.232083,0 days 00:00:22.038349,2048,0.03466189704762788,0.1,0.005,130.0,COMPLETE
78,78,0.7632349946172124,2021-04-18 01:15:28.233070,2021-04-18 01:18:08.436577,0 days 00:02:40.203507,16384,0.03671262616661392,1.0,0.001,145.0,COMPLETE
79,79,0.5004991120312688,2021-04-18 01:18:08.437618,2021-04-18 01:18:30.182299,0 days 00:00:21.744681,2048,0.048910171799894535,0.1,0.005,150.0,COMPLETE
