,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
54,54,0.7565784100442502,2021-04-17 23:45:23.402721,2021-04-17 23:47:10.548041,0 days 00:01:47.145320,0.12428021739117665,8192,0.03359433080645531,1e-05,0.01,90.0,COMPLETE
55,55,0.49903407717392345,2021-04-17 23:47:10.549599,2021-04-17 23:47:32.639010,0 days 00:00:22.089411,0.13288793868264562,8192,0.02415708274369409,1e-05,0.005,80.0,COMPLETE
56,56,0.49716474628186164,2021-04-17 23:47:32.640267,2021-04-17 23:47:54.427202,0 days 00:00:21.786935,0.10364994925317227,1024,0.04534707603757115,1e-05,0.01,95.0,COMPLETE
57,57,0.5036861729156701,2021-04-17 23:47:54.428470,2021-04-17 23:48:19.540077,0 days 00:00:25.111607,0.1190653731861202,8192,0.05728710642818713,0.1,0.1,75.0,COMPLETE
58,58,0.5010892798691292,2021-04-17 23:48:19.541417,2021-04-17 23:48:43.437435,0 days 00:00:23.896018,0.10832490145033871,8192,0.013686053076117519,1e-05,0.01,100.0,COMPLETE
59,59,0.72626779302922,2021-04-17 23:48:43.438738,2021-04-17 23:49:23.100291,0 days 00:00:39.661553,0.12999140122243996,8192,0.033758789286360766,1e-05,0.05,65.0,COMPLETE
60,60,0.5016068173438436,2021-04-17 23:49:23.101671,2021-04-17 23:49:51.494115,0 days 00:00:28.392444,0.1255797476812111,4096,0.06349300453976564,0.01,0.01,90.0,COMPLETE
61,61,0.7566023629925702,2021-04-17 23:49:51.495409,2021-04-17 23:51:38.771677,0 days 00:01:47.276268,0.12297292786362686,8192,0.034609074933936744,1e-05,0.01,90.0,COMPLETE
62,62,0.4968295869913975,2021-04-17 23:51:38.773106,2021-04-17 23:52:00.968870,0 days 00:00:22.195764,0.12180407354737126,8192,0.042294995647850726,1e-05,0.01,95.0,COMPLETE
63,63,0.49889912941580355,2021-04-17 23:52:00.970093,2021-04-17 23:52:22.934462,0 days 00:00:21.964369,0.11198244933090439,8192,0.0501396638920167,1e-05,0.01,80.0,COMPLETE
64,64,0.7567089196504154,2021-04-17 23:52:22.935754,2021-04-17 23:54:13.150135,0 days 00:01:50.214381,0.11716263012160008,8192,0.022590413671360034,1e-05,0.01,90.0,COMPLETE
65,65,0.49718866719038995,2021-04-17 23:54:13.151460,2021-04-17 23:54:47.031249,0 days 00:00:33.879789,0.11763149671967343,2048,0.02338930280290535,1.0,0.001,95.0,COMPLETE
66,66,0.7563267195376887,2021-04-17 23:54:47.032512,2021-04-17 23:56:34.694297,0 days 00:01:47.661785,0.10021104148939045,8192,0.018277615293444634,1e-05,0.01,85.0,COMPLETE
67,67,0.5010902256837819,2021-04-17 23:56:34.695615,2021-04-17 23:56:56.734464,0 days 00:00:22.038849,0.11486037478234669,8192,0.02587425355197313,1e-05,0.01,100.0,COMPLETE
68,68,0.7550194652756633,2021-04-17 23:56:56.735739,2021-04-17 23:59:02.713870,0 days 00:02:05.978131,0.11068132477093841,8192,0.02862220064914153,1e-05,0.01,50.0,COMPLETE
69,69,0.597770656166528,2021-04-17 23:59:02.715224,2021-04-17 23:59:42.983620,0 days 00:00:40.268396,0.10404675039697343,8192,0.01666862397138473,0.0001,0.01,80.0,COMPLETE
70,70,0.7568894087685436,2021-04-17 23:59:42.985009,2021-04-18 00:01:30.588162,0 days 00:01:47.603153,0.10699197201793315,8192,0.055085506635450525,1e-05,0.01,90.0,COMPLETE
71,71,0.7568961153377549,2021-04-18 00:01:30.589508,2021-04-18 00:03:19.159493,0 days 00:01:48.569985,0.10660942826695304,8192,0.05395325719710307,1e-05,0.01,90.0,COMPLETE
72,72,0.7562216097968394,2021-04-18 00:03:19.160905,2021-04-18 00:05:06.987654,0 days 00:01:47.826749,0.10668737530489832,8192,0.056109259523013606,1e-05,0.01,85.0,COMPLETE
73,73,0.7569619173804808,2021-04-18 00:05:06.989001,2021-04-18 00:06:55.255745,0 days 00:01:48.266744,0.10279245221140722,8192,0.06020929759295666,1e-05,0.01,90.0,COMPLETE
74,74,0.4968335189146424,2021-04-18 00:06:55.257060,2021-04-18 00:07:17.318800,0 days 00:00:22.061740,0.10180154043774105,8192,0.06271531014312305,1e-05,0.01,95.0,COMPLETE
75,75,0.7561742280711924,2021-04-18 00:07:17.320117,2021-04-18 00:09:06.708267,0 days 00:01:49.388150,0.10958142150830916,8192,0.05987588122093981,1e-05,0.01,85.0,COMPLETE
76,76,0.5003218563689251,2021-04-18 00:09:06.709568,2021-04-18 00:09:29.203600,0 days 00:00:22.494032,0.1029228887387846,4096,0.06641014383270968,1e-05,0.01,75.0,COMPLETE
77,77,0.5010424671701839,2021-04-18 00:09:29.205020,2021-04-18 00:09:51.437377,0 days 00:00:22.232357,0.10006912942453379,16384,0.05415089711264593,1e-05,0.005,100.0,COMPLETE
78,78,0.5017604994090017,2021-04-18 00:09:51.438671,2021-04-18 00:10:18.512232,0 days 00:00:27.073561,0.10666269650861274,8192,0.05072712310392332,0.001,0.01,85.0,COMPLETE
79,79,0.501587019315719,2021-04-18 00:10:18.513520,2021-04-18 00:10:40.971406,0 days 00:00:22.457886,0.1134078670128405,2048,0.048306744083596045,0.1,0.1,90.0,COMPLETE
80,80,0.5017422034063148,2021-04-18 00:10:40.972782,2021-04-18 00:11:03.372711,0 days 00:00:22.399929,0.10473348624446478,8192,0.05298634529841711,1.0,0.001,70.0,COMPLETE
81,81,0.7568221252058467,2021-04-18 00:11:03.373653,2021-04-18 00:12:51.090243,0 days 00:01:47.716590,0.11079320175662909,8192,0.0462291445415947,1e-05,0.01,90.0,COMPLETE
82,82,0.49683163881966186,2021-04-18 00:12:51.091232,2021-04-18 00:13:13.150889,0 days 00:00:22.059657,0.11023442230817303,8192,0.04627041451032814,1e-05,0.01,95.0,COMPLETE
83,83,0.49858374124003896,2021-04-18 00:13:13.151851,2021-04-18 00:13:35.176045,0 days 00:00:22.024194,0.10717275777927801,8192,0.04236657874122351,1e-05,0.01,10.0,COMPLETE
