,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
77,77,0.7050750894299794,2021-04-18 00:10:31.451504,2021-04-18 00:11:12.744179,0 days 00:00:41.292675,0.506348234390827,4096,1e-05,0.05,85.0,COMPLETE
78,78,0.6102565976185402,2021-04-18 00:11:12.745430,2021-04-18 00:12:12.369412,0 days 00:00:59.623982,0.6827765778336733,1024,0.0001,0.01,75.0,COMPLETE
79,79,0.5007761665185796,2021-04-18 00:12:12.370288,2021-04-18 00:12:40.646600,0 days 00:00:28.276312,0.6073183938943079,8192,0.1,0.01,90.0,COMPLETE
80,80,0.5012405884265136,2021-04-18 00:12:40.647930,2021-04-18 00:13:02.751672,0 days 00:00:22.103742,0.8735019903332475,4096,1e-05,0.01,100.0,COMPLETE
81,81,0.7424214076211397,2021-04-18 00:13:02.752948,2021-04-18 00:16:38.406621,0 days 00:03:35.653673,0.4995358831810801,1024,1e-05,0.01,85.0,COMPLETE
82,82,0.7317025580856819,2021-04-18 00:16:38.407879,2021-04-18 00:19:32.179600,0 days 00:02:53.771721,0.559449165641346,1024,1e-05,0.01,85.0,COMPLETE
83,83,0.49894925631080855,2021-04-18 00:19:32.180596,2021-04-18 00:19:54.268177,0 days 00:00:22.087581,0.5175525329510633,1024,1e-05,0.01,80.0,COMPLETE
84,84,0.4971329012920351,2021-04-18 00:19:54.269077,2021-04-18 00:20:16.616397,0 days 00:00:22.347320,0.43808646370736587,1024,1e-05,0.01,95.0,COMPLETE
85,85,0.5016883765561573,2021-04-18 00:20:16.617628,2021-04-18 00:20:45.287005,0 days 00:00:28.669377,0.4880676745374135,1024,0.01,0.01,90.0,COMPLETE
86,86,0.7518774023564021,2021-04-18 00:20:45.288101,2021-04-18 00:23:00.458283,0 days 00:02:15.170182,0.3975421931210153,4096,1e-05,0.01,85.0,COMPLETE
87,87,0.4988093949302243,2021-04-18 00:23:00.459189,2021-04-18 00:23:22.731986,0 days 00:00:22.272797,0.37443657287172005,4096,1e-05,0.005,80.0,COMPLETE
88,88,0.4971315581839645,2021-04-18 00:23:22.732855,2021-04-18 00:23:45.001005,0 days 00:00:22.268150,0.40250847195016737,4096,1e-05,0.01,95.0,COMPLETE
89,89,0.49872744226926785,2021-04-18 00:23:45.002207,2021-04-18 00:25:28.098870,0 days 00:01:43.096663,0.2917306175429662,4096,0.001,0.001,90.0,COMPLETE
90,90,0.7521242522912245,2021-04-18 00:25:28.100130,2021-04-18 00:27:43.571365,0 days 00:02:15.471235,0.3871936809954339,4096,1e-05,0.01,85.0,COMPLETE
91,91,0.7529542277176782,2021-04-18 00:27:43.572686,2021-04-18 00:29:59.884318,0 days 00:02:16.311632,0.3492531797575657,4096,1e-05,0.01,85.0,COMPLETE
92,92,0.7534990118313057,2021-04-18 00:29:59.885625,2021-04-18 00:32:01.139076,0 days 00:02:01.253451,0.35347500591643355,4096,1e-05,0.01,90.0,COMPLETE
93,93,0.7533870968386865,2021-04-18 00:32:01.140076,2021-04-18 00:34:02.063225,0 days 00:02:00.923149,0.3593478806995603,4096,1e-05,0.01,90.0,COMPLETE
94,94,0.7550405013213415,2021-04-18 00:34:02.064294,2021-04-18 00:36:02.735906,0 days 00:02:00.671612,0.2605793378425255,4096,1e-05,0.01,90.0,COMPLETE
95,95,0.4971593443729708,2021-04-18 00:36:02.736927,2021-04-18 00:36:25.151048,0 days 00:00:22.414121,0.1665763885445624,4096,1e-05,0.01,95.0,COMPLETE
96,96,0.7556508465384609,2021-04-18 00:36:25.152261,2021-04-18 00:38:26.136389,0 days 00:02:00.984128,0.21488651588543503,4096,1e-05,0.01,90.0,COMPLETE
97,97,0.6847185449370023,2021-04-18 00:38:26.137745,2021-04-18 00:39:02.492276,0 days 00:00:36.354531,0.20408017528032993,4096,1e-05,0.1,90.0,COMPLETE
98,98,0.5012057752703785,2021-04-18 00:39:02.493513,2021-04-18 00:39:26.688802,0 days 00:00:24.195289,0.09212485890120632,4096,1e-05,0.01,100.0,COMPLETE
99,99,0.49810354550182545,2021-04-18 00:39:26.690038,2021-04-18 00:39:51.476620,0 days 00:00:24.786582,0.2589095668175879,4096,1.0,0.01,95.0,COMPLETE
