,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
48,48,0.6196140687125476,2021-03-13 20:29:18.310184,2021-03-13 20:29:37.061461,0 days 00:00:18.751277,128,0.00463727743680018,0.001,0.01,50.0,COMPLETE
49,49,0.8068457149510874,2021-03-13 20:29:37.062941,2021-03-13 20:29:54.217599,0 days 00:00:17.154658,2048,0.9049224664584086,0.0001,0.01,70.0,COMPLETE
50,50,0.5031527078196757,2021-03-13 20:29:54.218537,2021-03-13 20:30:22.924937,0 days 00:00:28.706400,512,0.0069002459625971515,1.0,0.01,60.0,COMPLETE
51,51,0.8093422016982095,2021-03-13 20:30:22.926290,2021-03-13 20:30:39.802737,0 days 00:00:16.876447,2048,0.008550455180834244,0.0001,0.01,85.0,COMPLETE
52,52,0.807082294210263,2021-03-13 20:30:39.803591,2021-03-13 20:30:56.652176,0 days 00:00:16.848585,2048,0.010363122373961432,0.0001,0.01,90.0,COMPLETE
53,53,0.807357267392701,2021-03-13 20:30:56.653540,2021-03-13 20:31:13.248514,0 days 00:00:16.594974,2048,0.003460327383646275,0.0001,0.01,75.0,COMPLETE
54,54,0.806474587790393,2021-03-13 20:31:13.249836,2021-03-13 20:31:30.142214,0 days 00:00:16.892378,2048,0.02231075856220967,0.0001,0.01,105.0,COMPLETE
55,55,0.6401627417392035,2021-03-13 20:31:30.143074,2021-03-13 20:32:36.654364,0 days 00:01:06.511290,2048,0.012878806900738872,0.0001,0.001,85.0,COMPLETE
56,56,0.808381084840897,2021-03-13 20:32:36.655363,2021-03-13 20:32:53.311194,0 days 00:00:16.655831,2048,0.0077847574069763595,0.0001,0.01,65.0,COMPLETE
57,57,0.5060029958896997,2021-03-13 20:32:53.312510,2021-03-13 20:33:09.810457,0 days 00:00:16.497947,256,0.015868470707686863,0.01,0.1,60.0,COMPLETE
58,58,0.7933134871857135,2021-03-13 20:33:09.811788,2021-03-13 20:33:26.267682,0 days 00:00:16.455894,1024,0.008555130176281048,0.0001,0.01,65.0,COMPLETE
59,59,0.7106384968135427,2021-03-13 20:33:26.268962,2021-03-13 20:33:43.106132,0 days 00:00:16.837170,2048,0.033072195321325264,0.001,0.01,15.0,COMPLETE
60,60,0.8058335638318672,2021-03-13 20:33:43.107089,2021-03-13 20:33:59.961326,0 days 00:00:16.854237,2048,0.002347801435001712,0.0001,0.01,100.0,COMPLETE
61,61,0.8070844280603943,2021-03-13 20:33:59.962178,2021-03-13 20:34:16.806107,0 days 00:00:16.843929,2048,0.005944396880477763,0.0001,0.01,90.0,COMPLETE
62,62,0.8068205444906804,2021-03-13 20:34:16.807009,2021-03-13 20:34:33.485113,0 days 00:00:16.678104,2048,0.007376215673062289,0.0001,0.01,70.0,COMPLETE
63,63,0.8083077790789408,2021-03-13 20:34:33.486180,2021-03-13 20:34:50.269916,0 days 00:00:16.783736,2048,0.004639955893286563,0.0001,0.01,80.0,COMPLETE
64,64,0.8074439914194464,2021-03-13 20:34:50.271255,2021-03-13 20:35:06.792657,0 days 00:00:16.521402,2048,0.011480928849993901,0.0001,0.01,50.0,COMPLETE
65,65,0.5030005687908888,2021-03-13 20:35:06.793977,2021-03-13 20:35:23.876983,0 days 00:00:17.083006,2048,0.0036963741564708125,0.1,0.01,75.0,COMPLETE
66,66,0.758011701157511,2021-03-13 20:35:23.878301,2021-03-13 20:35:40.265518,0 days 00:00:16.387217,2048,0.008215868479245514,1e-05,0.005,80.0,COMPLETE
67,67,0.8072472811955458,2021-03-13 20:35:40.266839,2021-03-13 20:35:57.106332,0 days 00:00:16.839493,2048,0.0059791848339482406,0.0001,0.01,95.0,COMPLETE
68,68,0.8057404690129282,2021-03-13 20:35:57.107242,2021-03-13 20:36:14.285943,0 days 00:00:17.178701,2048,0.01793502159404937,0.0001,0.01,110.0,COMPLETE
69,69,0.7341155286300095,2021-03-13 20:36:14.287399,2021-03-13 20:36:30.804785,0 days 00:00:16.517386,2048,0.010978316757866351,0.0001,0.05,65.0,COMPLETE
70,70,0.5793443489281577,2021-03-13 20:36:30.806246,2021-03-13 20:36:49.890469,0 days 00:00:19.084223,128,0.0030679331991614986,0.0001,0.01,50.0,COMPLETE
71,71,0.8093152331646889,2021-03-13 20:36:49.891375,2021-03-13 20:37:06.709929,0 days 00:00:16.818554,2048,0.0043304619455367096,0.0001,0.01,85.0,COMPLETE
72,72,0.8073375244730182,2021-03-13 20:37:06.711281,2021-03-13 20:37:23.579946,0 days 00:00:16.868665,2048,0.004030360126334418,0.0001,0.01,75.0,COMPLETE
73,73,0.8093281528903183,2021-03-13 20:37:23.581266,2021-03-13 20:37:40.388802,0 days 00:00:16.807536,2048,0.0014491884261897878,0.0001,0.01,85.0,COMPLETE
74,74,0.8070784699407185,2021-03-13 20:37:40.389773,2021-03-13 20:37:57.226986,0 days 00:00:16.837213,2048,0.0016197020959744853,0.0001,0.01,90.0,COMPLETE
75,75,0.8058420876980672,2021-03-13 20:37:57.228001,2021-03-13 20:38:14.258099,0 days 00:00:17.030098,2048,0.0021409245078313744,0.0001,0.01,100.0,COMPLETE
76,76,0.796135942929431,2021-03-13 20:38:14.259028,2021-03-13 20:38:30.855581,0 days 00:00:16.596553,1024,0.0012949805243920257,0.0001,0.01,85.0,COMPLETE
77,77,0.5015351545824089,2021-03-13 20:38:30.857043,2021-03-13 20:38:53.960352,0 days 00:00:23.103309,256,0.004898232214536178,1.0,0.001,60.0,COMPLETE
78,78,0.5152084894354708,2021-03-13 20:38:53.961278,2021-03-13 20:39:11.200457,0 days 00:00:17.239179,2048,0.34850886160627004,0.0001,0.1,95.0,COMPLETE
79,79,0.5028610675375639,2021-03-13 20:39:11.201860,2021-03-13 20:39:37.080025,0 days 00:00:25.878165,2048,0.009120726376173378,0.01,0.01,115.0,COMPLETE
80,80,0.7581460068382041,2021-03-13 20:39:37.080967,2021-03-13 20:39:53.453524,0 days 00:00:16.372557,512,0.01312442676999176,0.0001,0.01,70.0,COMPLETE
81,81,0.8073576813468105,2021-03-13 20:39:53.454401,2021-03-13 20:40:10.331609,0 days 00:00:16.877208,2048,0.0060472063210278235,0.0001,0.01,75.0,COMPLETE
82,82,0.8093205697124045,2021-03-13 20:40:10.332715,2021-03-13 20:40:27.266497,0 days 00:00:16.933782,2048,0.006845262512759425,0.0001,0.01,85.0,COMPLETE
83,83,0.8092580934000633,2021-03-13 20:40:27.267930,2021-03-13 20:40:44.078586,0 days 00:00:16.810656,2048,0.007706452135629466,0.0001,0.01,85.0,COMPLETE
84,84,0.8093132210657663,2021-03-13 20:40:44.079484,2021-03-13 20:41:00.884629,0 days 00:00:16.805145,2048,0.004153718335950707,0.0001,0.01,85.0,COMPLETE
85,85,0.8072400094444079,2021-03-13 20:41:00.886074,2021-03-13 20:41:17.677342,0 days 00:00:16.791268,2048,0.004427823508924757,0.0001,0.01,95.0,COMPLETE
86,86,0.5020740100529691,2021-03-13 20:41:17.678259,2021-03-13 20:41:37.897376,0 days 00:00:20.219117,2048,0.006779366583022645,0.1,0.01,85.0,COMPLETE
87,87,0.8172908459823526,2021-03-13 20:41:37.898324,2021-03-13 20:41:54.890322,0 days 00:00:16.991998,2048,0.0012401578408372622,0.0001,0.005,105.0,COMPLETE
88,88,0.7059110011890505,2021-03-13 20:41:54.891200,2021-03-13 20:42:12.357893,0 days 00:00:17.466693,2048,0.0012878609160045,0.001,0.005,105.0,COMPLETE
89,89,0.8168730355634717,2021-03-13 20:42:12.359473,2021-03-13 20:42:29.932787,0 days 00:00:17.573314,2048,0.0028872343949286005,0.0001,0.005,130.0,COMPLETE
90,90,0.7791007637199566,2021-03-13 20:42:29.934241,2021-03-13 20:42:47.533661,0 days 00:00:17.599420,2048,0.0019121341861216277,1e-05,0.005,130.0,COMPLETE
91,91,0.8169324334926205,2021-03-13 20:42:47.534625,2021-03-13 20:43:05.198531,0 days 00:00:17.663906,2048,0.002853742599744793,0.0001,0.005,170.0,COMPLETE
92,92,0.817638404672228,2021-03-13 20:43:05.199586,2021-03-13 20:43:23.162566,0 days 00:00:17.962980,2048,0.002625268634995246,0.0001,0.005,195.0,COMPLETE
93,93,0.8172378854881643,2021-03-13 20:43:23.163520,2021-03-13 20:43:40.795385,0 days 00:00:17.631865,2048,0.0029036350363754104,0.0001,0.005,175.0,COMPLETE
94,94,0.8175282211099556,2021-03-13 20:43:40.796731,2021-03-13 20:43:58.458942,0 days 00:00:17.662211,2048,0.0014181927404361431,0.0001,0.005,185.0,COMPLETE
95,95,0.8174966644782549,2021-03-13 20:43:58.459904,2021-03-13 20:44:16.211047,0 days 00:00:17.751143,2048,0.0013986431356619736,0.0001,0.005,180.0,COMPLETE
96,96,0.8174839395545593,2021-03-13 20:44:16.212447,2021-03-13 20:44:33.650579,0 days 00:00:17.438132,2048,0.0010258806872157208,0.0001,0.005,180.0,COMPLETE
97,97,0.817242541510703,2021-03-13 20:44:33.651537,2021-03-13 20:44:50.945903,0 days 00:00:17.294366,2048,0.0010359669494045644,0.0001,0.005,175.0,COMPLETE
98,98,0.8174931900832364,2021-03-13 20:44:50.946769,2021-03-13 20:45:08.536354,0 days 00:00:17.589585,2048,0.0010524135345206247,0.0001,0.005,180.0,COMPLETE
99,99,0.6100806325190086,2021-03-13 20:45:08.538031,2021-03-13 20:45:27.749071,0 days 00:00:19.211040,128,0.001115816020681557,0.0001,0.005,180.0,COMPLETE
